P1x,P1y,P1z,P1VzX,P1VzY,P1VzZ,P1VxX,P1VxY,P1VxZ,P2x,P2y,P2z,P2VzX,P2VzY,P2VzZ,P2VxX,P2VxY,P2VxZ,DistanceBeyondEndOfJointOnFloor,DistanceBeyondEndOfJointOnWall,DistanceBeyondStartOfJointOnFloor,DistanceBeyondStartOfJointOnWall,JointCeilingEndHeight,JointCeilingStartHeight,JointEnclosureEndHeight,JointEnclosureStartHeight,JointEnclosureFrontAngle,JointFloorWidth,JointWallHeight,WallFloorApertureAngle,WeldLength,WeldEnclosureStart,WeldEnclosureStop,RailPosition,Score
0.5,70.525,-120.65,0.68301270189221952,0.18301270189221935,0.70710678118654735,0.68301270189221919,0.18301270189221922,-0.70710678118654768,0.5,8.6184298487,-116.0003201513,0.68301270189221941,0.545016979485378,0.48626139177044,0.6830127018922193,-0.24067797890912887,-0.6896142106439711,0,0,0,0,241.29999999999998,241.29999999999998,241.3000000000001,0,0,499.86666666666679,38.099999999999767,90,65.5694854480087,Open,Enclosed,2157.0099223128468,2157.0099223128468
0.5,-70.525,-120.65,0.68301270189221952,-0.18301270189221935,0.70710678118654735,0.68301270189221919,-0.18301270189221922,-0.70710678118654768,0.5,-8.6184298487,-116.0003201513,0.68301270189221941,-0.545016979485378,0.48626139177044,0.6830127018922193,0.24067797890912887,-0.6896142106439711,0,0,0,0,241.29999999999998,241.29999999999998,241.3000000000001,0,45.7,499.86666666666679,38.099999999999767,90,65.5694854480087,Open,Enclosed,2257.0099223128468,2257.0099223128468
0.5,70.525,133.35,0.68301270189221952,0.18301270189221935,0.70710678118654735,0.68301270189221919,0.18301270189221922,-0.70710678118654768,0.5,-71.525,133.35,0.68301270189221952,0.18301270189221935,0.70710678118654735,0.68301270189221919,0.18301270189221922,-0.70710678118654768,0,0,0,0,999999,999999,0,0,16.95,499.86666666666679,38.099999999999824,90,146.05,Open,Open,2367.5249977699132,2367.5249977699132
118.65,70.525,133.35,-0.68301270189221952,0.18301270189221935,0.70710678118654735,-0.68301270189221919,0.18301270189221913,-0.70710678118654768,118.65,-71.025,133.35,-0.68301270189221952,0.18301270189221935,0.70710678118654735,-0.68301270189221919,0.18301270189221913,-0.70710678118654768,0,22.224999999999994,0,22.22499999999998,999999,999999,0,0,17.53,120.65,4.762499999999676,90,146.05,Open,Open,1884.8508199434218,1884.8508199434218
172.45,-70.525,133.35,0.65257002952395982,-0.17485561241569891,0.737277336810124,0.71215522076252269,-0.19082141628892582,-0.67559020761566024,172.45,71.025,133.35,0.65257002952395982,-0.17485561241569891,0.737277336810124,0.71215522076252269,-0.19082141628892582,-0.67559020761566024,0,22.224999999999994,0,22.22499999999998,999999,999999,0,0,13.24,499.86666666666662,50.799999999999642,90,146.05,Open,Open,2539.53166443658,2539.53166443658
168.95,74.025,-133.35,0.17485561241569877,0.65257002952395982,0.737277336810124,0.19082141628892568,0.71215522076252269,-0.67559020761566024,122.65,74.025,-133.35,0.17485561241569877,0.65257002952395982,0.737277336810124,0.19082141628892568,0.71215522076252269,-0.67559020761566024,0,120.65,0,125,266.69999999999965,266.6999999999997,0,0,0,22.225000000000279,266.69999999999993,90,50.799999999999983,Open,Open,2106.4357678675547,2106.4357678675547
233.95,-69.6437530518,-120.65000000000002,-0.65257002952395982,-0.17485561241569889,0.737277336810124,-0.71215522076252269,-0.19082141628892574,-0.67559020761566024,233.95,-19.844,-120.65000000000002,-0.65257002952395982,-0.17485561241569889,0.737277336810124,-0.71215522076252269,-0.19082141628892574,-0.67559020761566024,14.70663984162919,3.5000551181102253,2.3812469481999869,0,241.30000000000004,241.29999999999998,241.30000000000013,0,45.7,234.95,241.29999999999961,90,50.7997530518,Open,Enclosed,1960.426952057705,1960.426952057705
245.475,-69.6437530518,-120.65000000000002,0.65257002952395982,-0.17485561241569891,0.737277336810124,0.71215522076252269,-0.19082141628892582,-0.67559020761566024,245.475,-19.844,-120.65000000000002,0.65257002952395982,-0.17485561241569891,0.737277336810124,0.71215522076252269,-0.19082141628892582,-0.67559020761566024,14.70663984162919,3.5000551181102253,2.3812469481999869,0,241.30000000000004,241.29999999999998,241.30000000000013,0,0,499.86666666666667,241.29999999999964,90,50.7997530518,Open,Enclosed,2550.0125323222965,2550.0125323222965
386.35,-49.7999992371,133.35,-0.65257002952395982,-0.17485561241569889,0.737277336810124,-0.71215522076252269,-0.19082141628892574,-0.67559020761566024,386.35,49.2999992371,133.35,-0.65257002952395982,-0.17485561241569889,0.737277336810124,-0.71215522076252269,-0.19082141628892574,-0.67559020761566024,22.225000762900002,0,22.225000762900002,0,999999,999999,0,0,13.24,387.35,50.799999237060234,90,101.5999984742,Open,Open,2204.9178199434223,2204.9178199434223
394.7,49.7999992371,133.35,0.65257002952395982,0.17485561241569891,0.737277336810124,0.71215522076252269,0.19082141628892582,-0.67559020761566024,394.7,-49.2999992371,133.35,0.65257002952395982,0.17485561241569891,0.737277336810124,0.71215522076252269,0.19082141628892582,-0.67559020761566024,22.225000762900002,0,22.225000762900002,0,999999,999999,0,0,11.04,499.86666666666662,50.799999237060234,90,101.5999984742,Open,Open,2757.1466644365796,2757.1466644365796
